"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.hyperpose_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a2_opencoggy",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.limit_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.letlet",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.or_test",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.collapse",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.identity",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.flip_test",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b0_chaining_prelim",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.peano",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d4_type_prop",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a1_symbols",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.let_superpose_if_case",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-145.print_graph",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.zeroargs",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b5_types_prelim",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.g1_docs",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.f1_moduleA",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.f1_moduleA",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d1_gadt",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.space_subtraction_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e2_states",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.sealed_test",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_5000",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_1000",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.d4_type_prop",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_100",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.max_time_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.base_test_repr_parse_intersection",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.if",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.match_void",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.supercollapse",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c2_spaces",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.represent_and_parse_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.py_types",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.space_intersection_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.02-curried-plus",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.tmpMatch2",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.types",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.minimal_metta_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.functional_programming_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.states_spaces",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a3_twoside",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d3_deptypes",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.factorial",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.call_cleanup_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.f1_imports",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c1_grounded_basic",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bc_comp",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","synth_buffer.synthesize",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.nalifier",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:29 GMT 2024","45000","","WHOLE-TESTS","","WHOLE-TESTS","","synth_buffer.time_synthesize",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.comma_is_not_special",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.debug_mettalogTestCurried",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.sequential_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e1_kb_write",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.tests0",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d2_higherfunc",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.types3",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.match_superposed_spaces",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.nested_parameters",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.multifunction",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.and_or",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.find_all_tests",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.f1_imports",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.c2_spaces",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.mettalogTestCurried2",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.let_superpose_list",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e3_match_states",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.c1_grounded_basic",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer_long",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.hyperpose",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.superpose_nested",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bchain_comp",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.is_space",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.d1_gadt",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:26 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.unique_test",""
"failed","Sun Oct 20 21:37:44 GMT 2024","Sun Oct 20 21:38:25 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.00_lang_case",""
